,Tweet,Score,Prediksi
0,campusteast jokowi bakal menang kalau curang maya curang manana sama kpuid c,-1,-1
1,ketua kpuid harusnya mundur,-1,-1
2,fadlizon kpuid harusnya lgsg ditembak tempat tpstps salah input c c valid,-1,-1
3,kpuid nyata sekelas kpuid seleranya akun bokep penghina rosululloh,-1,-1
4,manfaatnya dilakukn pihak jawab mungkin pihak,1,1
5,kpuid nyata mana kau dusta kerja kotor kau bayar mahal goblok,-1,1
6,kalau aplikasi situng buka luang salah input ang baik stop baiki dulu artinya,-1,-1
7,msaiddidu desioon kpuid tdk nah berfikir jauh sangka rakyat cara rentak mengam,-1,-1
8,hampir semua lihat curang bawaslu curang ketidak netralan ribu kpps,-1,-1
9,moga kawan sejuangan baik baik hasil bongkar masalah bocor server kpu hi,1,1
10,stop situng ngaco kpu,-1,-1
11,hingga jumat malam kpu tugas kpps wafat total sakit gtgtgtgtgt,-1,-1
12,udah buzer kpu ri bersih dulu kpu sekarang dukung,1,1
13,malah lebih dahsyat salah inputnya,-1,-1
14,arwidodo suro lalimoco kpuid kpuid mendiskualifikasi siapa sendiri curangnya malah brutal,-1,-1
15,be smart netizen edar berita hoax kait broadcast media chat whatsapp isi konten gila ny,-1,-1
16,gowa maccini baji tps sah tdk sah sah tdk sah maklumi kpu manusia,1,-1
17,ngomong curang dimulut siapa bukti curang bawa c dipegang masing paslon,-1,-1
18,kpuid caya sama kpu banyak omong mulai kardus anti air kuat katanya dulu hadeh sekarang dibilang human error,-1,1
19,cnnindonesia tetap fokus awasi kpu,1,1
20,jokowi kpuid mesti takut bunya udah menang paham sama kalian wkwk,1,1
21,tspartan herrymety akuntofa bawasluri partaisocmed dkppri dkppri kpuid jimlyas jangan ba mas,-1,-1
22,jahat curang pemilu mana hitung tetap lanjut kpu pusat jahat angin la,-1,-1
23,video kpu salah input data koreksi dilaku,-1,-1
24,petisi sdh dilaku disetujui waspada laku curang mulai kpu tingkat endah sd kpu tinggi,1,-1
25,twit rame facebuuk rame lapngan kampanye rame massa kpu banyak suara,1,1
26,suara jokowi kpu hitung salah manusia tib manusia,-1,-1
27,seneng ket kpu c arif budimanyg tiada arifnya dlm hidupnyaakhlak suai na,-1,-1
28,wahai kpuri sadarkah engkau banyak tugas tinggal moga bu laknat allah buat,-1,1
29,kpuid tgpf tolak audit tolak maling,-1,-1
30,rmolco laskarsurajaya bawaslugakkumdupolisijaksahakimklo emang indikasi bukti komisioner kpu,-1,-1
31,baru governoor of indonesia,1,1
32,tim prabowo serah box container bukti salah input data situng kpu,-1,-1
33,kata kpu caya,-1,-1
34,habib rizieq minta situng dihenti kpu tolak dite,-1,-1
35,reno bawasluri kpuid msaiddidu mantap moga informasi benar,1,1
36,input form c dilaku situng kpu beda hasilnya fakta suara tps input,-1,-1
37,update jelang pagi data masuk selisih suara jtan moga wiken lancar senang,1,1
38,detikcom situng kpu stop ganti real count bpn live warnet warnet,-1,1
39,berlama entry data unfaedah diduga hindar silpasitung publikasi manfaat,-1,1
40,pilkada amp pemilu dtg kpuid bawasluri dkppri buat uu upload wajib scan c asli sdh ta,1,-1
41,pola sama situng web kpu disusupi c palsu suara jokowi lonjak naik medan,-1,-1
42,salah input laku kpuid selalu rugi kait pemambahan depa,-1,-1
43,powerofreceh begini kpu pengen dipuji pemilu jurdil,1,-1
44,kalau tanding bola wasit punya hak beri hukum walaupun latih koar,-1,-1
45,kpuid msaiddidu hati dinilai hati ungkap benar gantung s,1,1
46,kpuid suara naik duluan lu revisi naik belag lu revisi duh kacau,1,1
47,situng kpu jokowimaruf unggul kitar juta suara,1,-1
48,situng kpu dinilai tambah kacau brutal,-1,-1
49,gedek enek muak kpuid,-1,-1
50,salah bangsa salah rezim rezim kuasa sekarang jadi gaduh disana,-1,-1
51,barusan muncul lama bang situng kpu bermasalah disinggung kali,-1,-1
52,ecek banget kerjanya,1,1
53,bawaslu tindaklanjuti lapor bpn prabowosandi soal situng kpu,-1,-1
54,pleno kpu suara caleg pks tinggi kadia,1,1
55,tiap warga negara hak atas bebas berpendapat prabowo lu me,1,1
56,thearieair makin banyak data masuk makin lebar jarak menang jokowi hadap prabowo inilah ditakuti ulama su,1,1
57,namanya ruang it kpu ruang karaoke mengambar ruang elite dibayar mahal rakyat kerja kpu,-1,-1
58,hasil pleno kpu pamekasan prabowosandi menang seluruh camat,1,1
59,usah dite ble kegencet ketidakwarasannya sendiri harusnya diganti mundur semua,-1,-1
60,hasil pemilu ditentu tanya real count kpu lalu website kpu giring opini,-1,1
61,negaraku hancur lebur palsu c masuk tanda tangan palsu sebuah jahat kasus c tps gerung,-1,-1
62,moga jadi awal baik bongkar siluman system it kpu,-1,1
63,kpuid trus ngapain kamu follow lupa sibuk ngurus anak sama suami,-1,-1
64,paling bisanya alas macam jurus ngeles kpu real count unggul input data,-1,-1
65,kpuid diatur atu patuh uu pret,1,-1
66,lepas pemilu kalian kpuid paling dicari,-1,-1
67,tanya hukumnya suka hendak allah suatu takdir,1,1
68,salah input situng kpu tanggal mei bu salah,-1,-1
69,kpu depok salah input suara jokowi ditulis,-1,-1
70,romiemocka detikcom trus untungnya gitu mas nunjukin metodo hasil pihak lawan mk lebih,1,1
71,sore kpuid tgl jam lapor jadi ubah suara jaktim cakung cakung timur tps situng kpu,-1,-1
72,bahan bakarnya kpu pke solar jd loyo input coba pke batu bara ngaciiii,-1,-1
73,bapak jangan koar medsos bicara sama kpu kasus diselesai cara buka,-1,-1
74,kpuid bawasluri mantap,1,-1
75,hnurwahid kpuid benar benar hunan error kejar order,1,1
76,korlap ngodek jangan lgbt temenya rockygerung beginilah cara bodoh dukung prabowo saking ing,-1,1
77,tsamaradki kpuid awal hancur kpu,-1,-1
78,detikcom smpai bpn us rahasia hitung suara patut curigai rncana trtentu dgn kpu,1,1
79,doncorleone kpuid salah cayaini banyak salah,-1,-1
80,forensik mayat,-1,1
81,kpuid usah tutup mata zolimi karna te rakyat te karna rasa suara zolimi,-1,-1
82,pemungutan suara hingga . salah manusia human error,-1,-1
83,bagaimana hitung centage salah input kpu kalau url mati,-1,-1
84,mbakyuevin zarazettirazr kpuid iya ratus istrisuami hilang pasang hidupnya ratus anak hilang org,-1,-1
85,dhanihendy kpuid bawasluri kawalpemilu onnowpurbo sandiuno prabowo goblok,-1,-1
86,hnurwahid evialfa kpuid kslahan input data revisidi baiki suai c,-1,-1
87,prabowo mas sandiuno tetap semangat safari beri semangat ucap ima kasih dukung,1,1
88,kpuid cara suka tweet sebut lihat kali bagaimana moralnya kpu dasar sampah,-1,-1
89,kpuid caya lgi smaa kpubyak omongmulai kardus anti airkuat katay dluhadehskrg dblg hum,-1,1
90,gila bener situng dikendali intruder fungsi ubah data disesuai qc pusatnya gambir pakar,-1,1
91,abotan bekas warnet skrg disimpan tor kpu dgn bangga tunjuk abotan rasa malu dgn uang,1,1
92,golkar serah tujuh kotak isi syarat daftar kpu,1,1
93,jahat rezim jokowi kpuid pemilu lebih parah jahat pki brutal nyangkal jahat kedok,-1,-1
94,begini ruang situng kpu anggota bawaslu iksa wahai anggota bawaslu pantaskah ruang situng dgn biaya,1,-1
95,ponirahmujahid fadlizon lama jdi curiga jga y mlihat tingkah aneh bpn n relawan balik keraha,-1,-1
96,data udh masuk spt dipasti jokowi abah khmarufamin jadi presiden amp wapres utk thn menda,1,1
97,kpuid tpi undangudang laku cmn buat ber duit qlu ber duit mnh laku namanya undangundang,1,1
98,kpuid salah input hoax,-1,-1
99,msaiddidu hdrabdurrahman kpu ilc mudh kali kayaknya rezim,-1,-1
100,kawal kpu jangan curang us salah input tiap menit,-1,-1
101,tsamaradki kpuid tuju menang indonesia,1,1
102,brekingnews jahat sempurna kpu anggap bengkulu jumlah suara kecil jadi entry prabowo menang,1,1
103,situng kpu dinilai tambah kacau brutal,-1,-1
104,oke harga dukung mbaknya pakai akal sehat,1,1
105,cnnindonesia kpu lembaga negara rakyat caya padamu,-1,-1
106,kpuid masabudiman masws viryanazis hsymasyari novidaevi pramonoutan ksetyawan angya sj ngawur apalgi grafiknya,-1,1
107,kalau kemudian minta real count situng didrop disetop aneh demokrasi makin maju alat,-1,1
108,kpuid masabudiman viryanazis masws novidaevi hsymasyari pramonoutan ksetyawan kerja bener ja,1,1
109,bu ahli it temen lulus luar negri bidang it satu kalimat komentar,1,-1
110,kpu bu manusia,-1,-1
111,hasbunallah wanimal wakil nimal maula wanimanasir lahawla wala quata illa billa ingat wahai pimpin amp kpuid bah,1,-1
112,komplek mega mai mana suaranya salah input kpu tps lurah padang sarai komplek mega mai kota,-1,-1
113,kpuid salahnya bu sedikit salah hampir tiap hari,-1,-1
114,habib rizieq nilai real count bahaya bentuk opini salah masyarakat,-1,1
115,x bawaslu serah bukti curang pemilu masuk minta bawaslu lihat proses input data kpu,-1,-1
116,kpuid jokowi kroni moga allah laknat kalian dunia akhirat allah kalian lampau batas,-1,-1
117,kpuid sumpah ratus juta sen caya kpu yakin qc menang paslon,1,1
118,selamat kpu laksana pemilu jurdil,1,1
119,bpn prabowo serah bukti duga curang situng kpu bawaslu duga curang,-1,-1
120,negaraku hancur lebur palsu c masuk tanda tangan palsu sebuah jahat kasus c tps gerun,-1,-1
121,nyata ruang kpu macam tor kalurahan sempit alat t dihargai segitu,-1,-1
122,luar biasa tim it bpn temu salah input data situng kpuid bukti diserah bawasluri kesal,-1,-1
123,utnya arief budiman lihat gendut banget samping t aman,1,-1
124,moga babinsa jauh lebih jujur kpu bekualitas,1,1
125,bpn prabowosandi lapor kpu lembaga survei bawaslu direktur hukum advokasi,-1,-1
126,detikcom sangat harga jasa tugas tps kpu bawaslu,1,-1
127,pacitan utk jatim hasil pleno kpu pacitan suara sah ,1,1
128,kpuid masabudiman masws viryanazis hsymasyari novidaevi pramonoutan ksetyawan kpuid kerja be,1,1
129,sapulidi riazahro kpuid tuju,1,1
130,salah kpu input data formulir c manusiawi,-1,-1
131,anak sekolah libur awal puasa hari libur hari raya hari total libur hari versi kpuid,-1,-1
132,priyobudis hnurwahid kpuid disini curang tiga intah sendiri lalu hukum,-1,-1
133,kalau salah input us siapa caya situng kpu,-1,-1
134,putrabanten janenur akibat hoaxnya surat suara kontainerada c dimanipulasisurat suara o,-1,-1
135,kpu salah entry data tdk hny timpa tp jadi emang betul tp salah entry data timpa,-1,-1
136,kpuid bu salah input udah kriminal palsu dokumen negara lembaga kalau udah,-1,-1
137,lihat hasil real count kpuid sangat amburadul cenderung netral coba poling siapa presiden real,1,1
138,republikaonline system error human error manajemen error kpu error dibukti maya audit jangan ditolak,-1,-1
139,kpu independen pihak siapapun jokowi jokowi,1,1
140,pakai etika sedikit sabar sedikit hasil kpu umum kasih,1,1
141,kpu kitar salah input data dianggap bu tindak curang padahal tim bpn klaim hasil,-1,-1
142,putraerlangga kpu jangan curangi,-1,-1
143,kpuid emang parah in baki kurang kerjaan dibasmi ganti presiden,-1,-1
144,lapor kpuri cek malam situs situng kpu,-1,-1
145,mahasiswa gerak kawan mahasiswa lampung gruduk kpu lampung moga tular daerah jangan diam,-1,1
146,maya ngebet kepengen ketemu prabowo,-1,1
147,situng kpu layak salah input diancam pidana,-1,-1
148,thewarman jokowi prabowo negara namanya hukum laku benar jadi curang milik,1,-1
149,tolak people power aliansi mahasiswa bandung siap kawal kpu,1,-1
150,cucu diri nu gus aam tantang kpu sumpah mubahalah bukti curang,-1,-1
151,didukung golkar jokowi menang suara atas sen pemilu datang,1,1
152,samina wa atona mbah tunjuk jelang,1,1
153,salah semangati kpu lebih penting semangat dirinya tetap sehat,1,1
154,lemhannas minta semua pihak paksa kpu,1,1
155,berjamaah bohong surat suara bakar papua kpu ksp polri rentak kata surat suara pakai,-1,-1
156,kpu curangsurat suara coblossiapa yng untung,1,-1
157,potret curang bpn prabowosandi struktur sistimatis masif bawasluri kpuid saksi prabowo,-1,-1
158,kalian lihat data kpu gelembung suara daerah kalian segeralah ambil buktinya usut curang,-1,-1
159,kata kpu caya kalau kambing ngeong kamu caya,-1,-1
160,imayadewi komisionerkpu kpuid maya klo pemilu jng fokus ama pilpresnya calegnya jg hati,1,1
161,satu salah,-1,-1
162,cuman laksana intah hr pakai alas segala situng kpu bermasalah,1,-1
163,insya allah senin besok mulai puasa ramadhan sama mohon maaf lahir batin moga semua jalan,1,1
164,thearieair makin banyak data masuk makin lebar jarak menang jokowi hadap prabowo inilah ditakut,1,1
165,hasil pleno kpu mulai direkap lets see buat banding versi pleno kpu versi situng kpu vers,-1,1
166,tps ds gorowong parungpanjang bogor jabar suara sah mmbengkak jadi dahnilanzar fadlizon,1,-1
167,alanborut kpuid menang telak jawa barat jawa timur dki banten aceh padang,1,1
168,kpuid masabudiman viryanazis masws novidaevi hsymasyari pramonoutan ksetyawan jangan buta tuli,-1,1
169,siang kpuid update curang jam lampung kota metro barat l tps situng kpu,-1,-1
170,bocah kelas i masuk database katanya security data utamanya aman gimana ahli kira ruang penting kpu,1,1
171,bilang kalian lembaga survey bayar atur quick count adil paling bertanggungjawab atas ricuh,1,1
172,luar biasa hadiah milyar rupiah disedia siapa bukti minimal sen curang dilaku,-1,-1
173,abiyyu msaiddidu kpuid cakkhum zarazettirazr putrabanten maulanatigor lisaamartatara rata merek,1,-1
174,real count kpu sen jokowimaruf unggul sekira juta suara,1,1
175,sabtu pagi hasil hitung via kawalpemilu situng kpuid,1,1
176,gelar ikrar sama syukur warga jakut ajak semua hormatikpu,1,1
177,hoax kontainer surat suara masuk penjara hoax server kpu setting masuk penjara hoax,-1,-1
178,moga kpu tetap amanah komisioner kpu ilham saputra komisi pilih umum kpu curang,1,1
179,maaf caya pilih jadi anggota dpr,1,1
180,kpuid tug tipu rakyat ditipu tinggal tunggu waktu,-1,-1
181,kpu tug angon keong racun,-1,-1
182,awasi us situng kpu jangan rampok keliar,-1,-1
183,amin minta audit forensik kpu jawab hasil pemilu ditentu it klo gitu ngapain pake real count kpu s,-1,1
184,kpu nyata prabowo menang bengkulu caya kpu nyata jokowi menang pilpres caya kpu,1,1
185,situng kpu disusupi c palsu suara jokowi medan naik protes muncul tuding kpu palsu form c diinput situng,-1,-1
186,kpuid kpu rasa cebong,1,1
187,viral copas bpn bangkit bawa bukti lebih salah input situng kpu it bpn desak bawasluri henti,-1,-1
188,msapunya fadlizon kpuid bawasluri curang umum langsung menang,1,1
189,situng kpu baru capai sen,1,1
190,demo relawan prabowosandi kpu kota bogor janji hitung suara jujur buka,1,1
191,kpuid klo berani jurdil hebat,1,1
192,miris video intip server kpu dinilai kelas warungan sedih,-1,1
193,tanda sakit hati menang hasil rekapitulasi kpu ponorogo paslon jokowimaruf,1,1
194,kpuid data tampilan depan dibaiki dibuka eh data sedia naik,1,1
195,semua postingan dihapus lebih dulu akun professor soegianto soelistiono bongkar curang kpu tewas,-1,1
196,ketua kpu tinggal tiba tiba duga diracun kpps ratus lebih tinggal sungguh aneh prihatin,-1,-1
197,kpuid c dipindai suai hasil kpps sama kpu ri dirubah jadi c palsu,-1,-1
198,abotan bekas warnet sekarang disimpan tor kpu bangga tunjuk abotan rasa malu uang,1,1
199,kpuid bawasluri lihat cermati rakyat disuguhi curang,-1,-1
