,Tweet,Score,Prediksi,TP,TN,FP,FN,,
0,campusteast jokowi bakal menang kalau curang maya curang manana sama kpuid c,-1,-1,0,1,0,1,,
1,ketua kpuid harusnya mundur,-1,-1,0,1,0,1,,
2,fadlizon kpuid harusnya lgsg ditembak tempat tpstps salah input c c valid,-1,-1,0,1,0,1,,
3,kpuid nyata sekelas kpuid seleranya akun bokep penghina rosululloh,-1,-1,0,1,0,1,,
4,manfaatnya dilakukn pihak jawab mungkin pihak,1,1,1,0,1,0,,
5,kpuid nyata mana kau dusta kerja kotor kau bayar mahal goblok,-1,1,0,1,0,0,,
6,kalau aplikasi situng buka luang salah input ang baik stop baiki dulu artinya,-1,-1,0,1,0,1,,
7,msaiddidu desioon kpuid tdk nah berfikir jauh sangka rakyat cara rentak mengam,-1,-1,0,1,0,1,,
8,hampir semua lihat curang bawaslu curang ketidak netralan ribu kpps,-1,-1,0,1,0,1,,
9,moga kawan sejuangan baik baik hasil bongkar masalah bocor server kpu hi,1,1,1,0,1,0,,
10,stop situng ngaco kpu,-1,-1,0,1,0,1,,
11,hingga jumat malam kpu tugas kpps wafat total sakit gtgtgtgtgt,-1,-1,0,1,0,1,,
12,udah buzer kpu ri bersih dulu kpu sekarang dukung,1,1,1,0,1,0,,
13,malah lebih dahsyat salah inputnya,-1,-1,0,1,0,1,,
14,arwidodo suro lalimoco kpuid kpuid mendiskualifikasi siapa sendiri curangnya malah brutal,-1,-1,0,1,0,1,,
15,be smart netizen edar berita hoax kait broadcast media chat whatsapp isi konten gila ny,-1,-1,0,1,0,1,,
16,gowa maccini baji tps sah tdk sah sah tdk sah maklumi kpu manusia,1,-1,1,0,0,0,,
17,ngomong curang dimulut siapa bukti curang bawa c dipegang masing paslon,-1,-1,0,1,0,1,,
18,kpuid caya sama kpu banyak omong mulai kardus anti air kuat katanya dulu hadeh sekarang dibilang human error,-1,1,0,1,0,0,,
19,cnnindonesia tetap fokus awasi kpu,1,1,1,0,1,0,,
20,jokowi kpuid mesti takut bunya udah menang paham sama kalian wkwk,1,1,1,0,1,0,,
21,tspartan herrymety akuntofa bawasluri partaisocmed dkppri dkppri kpuid jimlyas jangan ba mas,-1,-1,0,1,0,1,,
22,jahat curang pemilu mana hitung tetap lanjut kpu pusat jahat angin la,-1,-1,0,1,0,1,,
23,video kpu salah input data koreksi dilaku,-1,-1,0,1,0,1,,
24,petisi sdh dilaku disetujui waspada laku curang mulai kpu tingkat endah sd kpu tinggi,1,-1,1,0,0,0,,
25,twit rame facebuuk rame lapngan kampanye rame massa kpu banyak suara,1,1,1,0,1,0,,
26,suara jokowi kpu hitung salah manusia tib manusia,-1,-1,0,1,0,1,,
27,seneng ket kpu c arif budimanyg tiada arifnya dlm hidupnyaakhlak suai na,-1,-1,0,1,0,1,,
28,wahai kpuri sadarkah engkau banyak tugas tinggal moga bu laknat allah buat,-1,1,0,1,0,0,,
29,kpuid tgpf tolak audit tolak maling,-1,-1,0,1,0,1,,
30,rmolco laskarsurajaya bawaslugakkumdupolisijaksahakimklo emang indikasi bukti komisioner kpu,-1,-1,0,1,0,1,,
31,baru governoor of indonesia,1,1,1,0,1,0,,
32,tim prabowo serah box container bukti salah input data situng kpu,-1,-1,0,1,0,1,,
33,kata kpu caya,-1,-1,0,1,0,1,,
34,habib rizieq minta situng dihenti kpu tolak dite,-1,-1,0,1,0,1,,
35,reno bawasluri kpuid msaiddidu mantap moga informasi benar,1,1,1,0,1,0,,
36,input form c dilaku situng kpu beda hasilnya fakta suara tps input,-1,-1,0,1,0,1,,
37,update jelang pagi data masuk selisih suara jtan moga wiken lancar senang,1,1,1,0,1,0,,
38,detikcom situng kpu stop ganti real count bpn live warnet warnet,-1,1,0,1,0,0,,
39,berlama entry data unfaedah diduga hindar silpasitung publikasi manfaat,-1,1,0,1,0,0,,
40,pilkada amp pemilu dtg kpuid bawasluri dkppri buat uu upload wajib scan c asli sdh ta,1,-1,1,0,0,0,,
41,pola sama situng web kpu disusupi c palsu suara jokowi lonjak naik medan,-1,-1,0,1,0,1,,
42,salah input laku kpuid selalu rugi kait pemambahan depa,-1,-1,0,1,0,1,,
43,powerofreceh begini kpu pengen dipuji pemilu jurdil,1,-1,1,0,0,0,,
44,kalau tanding bola wasit punya hak beri hukum walaupun latih koar,-1,-1,0,1,0,1,,
45,kpuid msaiddidu hati dinilai hati ungkap benar gantung s,1,1,1,0,1,0,,
46,kpuid suara naik duluan lu revisi naik belag lu revisi duh kacau,1,1,1,0,1,0,,
47,situng kpu jokowimaruf unggul kitar juta suara,1,-1,1,0,0,0,,
48,situng kpu dinilai tambah kacau brutal,-1,-1,0,1,0,1,,
49,gedek enek muak kpuid,-1,-1,0,1,0,1,,
50,salah bangsa salah rezim rezim kuasa sekarang jadi gaduh disana,-1,-1,0,1,0,1,,
51,barusan muncul lama bang situng kpu bermasalah disinggung kali,-1,-1,0,1,0,1,,
52,ecek banget kerjanya,1,1,1,0,1,0,,
53,bawaslu tindaklanjuti lapor bpn prabowosandi soal situng kpu,-1,-1,0,1,0,1,,
54,pleno kpu suara caleg pks tinggi kadia,1,1,1,0,1,0,,
55,tiap warga negara hak atas bebas berpendapat prabowo lu me,1,1,1,0,1,0,,
56,thearieair makin banyak data masuk makin lebar jarak menang jokowi hadap prabowo inilah ditakuti ulama su,1,1,1,0,1,0,,
57,namanya ruang it kpu ruang karaoke mengambar ruang elite dibayar mahal rakyat kerja kpu,-1,-1,0,1,0,1,,
58,hasil pleno kpu pamekasan prabowosandi menang seluruh camat,1,1,1,0,1,0,,
59,usah dite ble kegencet ketidakwarasannya sendiri harusnya diganti mundur semua,-1,-1,0,1,0,1,,
60,hasil pemilu ditentu tanya real count kpu lalu website kpu giring opini,-1,1,0,1,0,0,,
61,negaraku hancur lebur palsu c masuk tanda tangan palsu sebuah jahat kasus c tps gerung,-1,-1,0,1,0,1,,
62,moga jadi awal baik bongkar siluman system it kpu,-1,1,0,1,0,0,,
63,kpuid trus ngapain kamu follow lupa sibuk ngurus anak sama suami,-1,-1,0,1,0,1,,
64,paling bisanya alas macam jurus ngeles kpu real count unggul input data,-1,-1,0,1,0,1,,
65,kpuid diatur atu patuh uu pret,1,-1,1,0,0,0,,
66,lepas pemilu kalian kpuid paling dicari,-1,-1,0,1,0,1,,
67,tanya hukumnya suka hendak allah suatu takdir,1,1,1,0,1,0,,
68,salah input situng kpu tanggal mei bu salah,-1,-1,0,1,0,1,,
69,kpu depok salah input suara jokowi ditulis,-1,-1,0,1,0,1,,
70,romiemocka detikcom trus untungnya gitu mas nunjukin metodo hasil pihak lawan mk lebih,1,1,1,0,1,0,,
71,sore kpuid tgl jam lapor jadi ubah suara jaktim cakung cakung timur tps situng kpu,-1,-1,0,1,0,1,,
72,bahan bakarnya kpu pke solar jd loyo input coba pke batu bara ngaciiii,-1,-1,0,1,0,1,,
73,bapak jangan koar medsos bicara sama kpu kasus diselesai cara buka,-1,-1,0,1,0,1,,
74,kpuid bawasluri mantap,1,-1,1,0,0,0,,
75,hnurwahid kpuid benar benar hunan error kejar order,1,1,1,0,1,0,,
76,korlap ngodek jangan lgbt temenya rockygerung beginilah cara bodoh dukung prabowo saking ing,-1,1,0,1,0,0,,
77,tsamaradki kpuid awal hancur kpu,-1,-1,0,1,0,1,,
78,detikcom smpai bpn us rahasia hitung suara patut curigai rncana trtentu dgn kpu,1,1,1,0,1,0,,
79,doncorleone kpuid salah cayaini banyak salah,-1,-1,0,1,0,1,,
80,forensik mayat,-1,1,0,1,0,0,,
81,kpuid usah tutup mata zolimi karna te rakyat te karna rasa suara zolimi,-1,-1,0,1,0,1,,
82,pemungutan suara hingga . salah manusia human error,-1,-1,0,1,0,1,,
83,bagaimana hitung centage salah input kpu kalau url mati,-1,-1,0,1,0,1,,
84,mbakyuevin zarazettirazr kpuid iya ratus istrisuami hilang pasang hidupnya ratus anak hilang org,-1,-1,0,1,0,1,,
85,dhanihendy kpuid bawasluri kawalpemilu onnowpurbo sandiuno prabowo goblok,-1,-1,0,1,0,1,,
86,hnurwahid evialfa kpuid kslahan input data revisidi baiki suai c,-1,-1,0,1,0,1,,
87,prabowo mas sandiuno tetap semangat safari beri semangat ucap ima kasih dukung,1,1,1,0,1,0,,
88,kpuid cara suka tweet sebut lihat kali bagaimana moralnya kpu dasar sampah,-1,-1,0,1,0,1,,
89,kpuid caya lgi smaa kpubyak omongmulai kardus anti airkuat katay dluhadehskrg dblg hum,-1,1,0,1,0,0,,
90,gila bener situng dikendali intruder fungsi ubah data disesuai qc pusatnya gambir pakar,-1,1,0,1,0,0,,
91,abotan bekas warnet skrg disimpan tor kpu dgn bangga tunjuk abotan rasa malu dgn uang,1,1,1,0,1,0,,
92,golkar serah tujuh kotak isi syarat daftar kpu,1,1,1,0,1,0,,
93,jahat rezim jokowi kpuid pemilu lebih parah jahat pki brutal nyangkal jahat kedok,-1,-1,0,1,0,1,,
94,begini ruang situng kpu anggota bawaslu iksa wahai anggota bawaslu pantaskah ruang situng dgn biaya,1,-1,1,0,0,0,,
95,ponirahmujahid fadlizon lama jdi curiga jga y mlihat tingkah aneh bpn n relawan balik keraha,-1,-1,0,1,0,1,,
96,data udh masuk spt dipasti jokowi abah khmarufamin jadi presiden amp wapres utk thn menda,1,1,1,0,1,0,,
97,kpuid tpi undangudang laku cmn buat ber duit qlu ber duit mnh laku namanya undangundang,1,1,1,0,1,0,,
98,kpuid salah input hoax,-1,-1,0,1,0,1,,
99,msaiddidu hdrabdurrahman kpu ilc mudh kali kayaknya rezim,-1,-1,0,1,0,1,,
100,kawal kpu jangan curang us salah input tiap menit,-1,-1,0,1,0,1,,
101,tsamaradki kpuid tuju menang indonesia,1,1,1,0,1,0,,
102,brekingnews jahat sempurna kpu anggap bengkulu jumlah suara kecil jadi entry prabowo menang,1,1,1,0,1,0,,
103,situng kpu dinilai tambah kacau brutal,-1,-1,0,1,0,1,,
104,oke harga dukung mbaknya pakai akal sehat,1,1,1,0,1,0,,
105,cnnindonesia kpu lembaga negara rakyat caya padamu,-1,-1,0,1,0,1,,
106,kpuid masabudiman masws viryanazis hsymasyari novidaevi pramonoutan ksetyawan angya sj ngawur apalgi grafiknya,-1,1,0,1,0,0,,
107,kalau kemudian minta real count situng didrop disetop aneh demokrasi makin maju alat,-1,1,0,1,0,0,,
108,kpuid masabudiman viryanazis masws novidaevi hsymasyari pramonoutan ksetyawan kerja bener ja,1,1,1,0,1,0,,
109,bu ahli it temen lulus luar negri bidang it satu kalimat komentar,1,-1,1,0,0,0,,
110,kpu bu manusia,-1,-1,0,1,0,1,,
111,hasbunallah wanimal wakil nimal maula wanimanasir lahawla wala quata illa billa ingat wahai pimpin amp kpuid bah,1,-1,1,0,0,0,,
112,komplek mega mai mana suaranya salah input kpu tps lurah padang sarai komplek mega mai kota,-1,-1,0,1,0,1,,
113,kpuid salahnya bu sedikit salah hampir tiap hari,-1,-1,0,1,0,1,,
114,habib rizieq nilai real count bahaya bentuk opini salah masyarakat,-1,1,0,1,0,0,,
115,x bawaslu serah bukti curang pemilu masuk minta bawaslu lihat proses input data kpu,-1,-1,0,1,0,1,,
116,kpuid jokowi kroni moga allah laknat kalian dunia akhirat allah kalian lampau batas,-1,-1,0,1,0,1,,
117,kpuid sumpah ratus juta sen caya kpu yakin qc menang paslon,1,1,1,0,1,0,,
118,selamat kpu laksana pemilu jurdil,1,1,1,0,1,0,,
119,bpn prabowo serah bukti duga curang situng kpu bawaslu duga curang,-1,-1,0,1,0,1,,
120,negaraku hancur lebur palsu c masuk tanda tangan palsu sebuah jahat kasus c tps gerun,-1,-1,0,1,0,1,,
121,nyata ruang kpu macam tor kalurahan sempit alat t dihargai segitu,-1,-1,0,1,0,1,,
122,luar biasa tim it bpn temu salah input data situng kpuid bukti diserah bawasluri kesal,-1,-1,0,1,0,1,,
123,utnya arief budiman lihat gendut banget samping t aman,1,-1,1,0,0,0,,
124,moga babinsa jauh lebih jujur kpu bekualitas,1,1,1,0,1,0,,
125,bpn prabowosandi lapor kpu lembaga survei bawaslu direktur hukum advokasi,-1,-1,0,1,0,1,,
126,detikcom sangat harga jasa tugas tps kpu bawaslu,1,-1,1,0,0,0,,
127,pacitan utk jatim hasil pleno kpu pacitan suara sah ,1,1,1,0,1,0,,
128,kpuid masabudiman masws viryanazis hsymasyari novidaevi pramonoutan ksetyawan kpuid kerja be,1,1,1,0,1,0,,
129,sapulidi riazahro kpuid tuju,1,1,1,0,1,0,,
130,salah kpu input data formulir c manusiawi,-1,-1,0,1,0,1,,
131,anak sekolah libur awal puasa hari libur hari raya hari total libur hari versi kpuid,-1,-1,0,1,0,1,,
132,priyobudis hnurwahid kpuid disini curang tiga intah sendiri lalu hukum,-1,-1,0,1,0,1,,
133,kalau salah input us siapa caya situng kpu,-1,-1,0,1,0,1,,
134,putrabanten janenur akibat hoaxnya surat suara kontainerada c dimanipulasisurat suara o,-1,-1,0,1,0,1,,
135,kpu salah entry data tdk hny timpa tp jadi emang betul tp salah entry data timpa,-1,-1,0,1,0,1,,
136,kpuid bu salah input udah kriminal palsu dokumen negara lembaga kalau udah,-1,-1,0,1,0,1,,
137,lihat hasil real count kpuid sangat amburadul cenderung netral coba poling siapa presiden real,1,1,1,0,1,0,,
138,republikaonline system error human error manajemen error kpu error dibukti maya audit jangan ditolak,-1,-1,0,1,0,1,,
139,kpu independen pihak siapapun jokowi jokowi,1,1,1,0,1,0,,
140,pakai etika sedikit sabar sedikit hasil kpu umum kasih,1,1,1,0,1,0,,
141,kpu kitar salah input data dianggap bu tindak curang padahal tim bpn klaim hasil,-1,-1,0,1,0,1,,
142,putraerlangga kpu jangan curangi,-1,-1,0,1,0,1,,
143,kpuid emang parah in baki kurang kerjaan dibasmi ganti presiden,-1,-1,0,1,0,1,,
144,lapor kpuri cek malam situs situng kpu,-1,-1,0,1,0,1,,
145,mahasiswa gerak kawan mahasiswa lampung gruduk kpu lampung moga tular daerah jangan diam,-1,1,0,1,0,0,,
146,maya ngebet kepengen ketemu prabowo,-1,1,0,1,0,0,,
147,situng kpu layak salah input diancam pidana,-1,-1,0,1,0,1,,
148,thewarman jokowi prabowo negara namanya hukum laku benar jadi curang milik,1,-1,1,0,0,0,,
149,tolak people power aliansi mahasiswa bandung siap kawal kpu,1,-1,1,0,0,0,,
150,cucu diri nu gus aam tantang kpu sumpah mubahalah bukti curang,-1,-1,0,1,0,1,,
151,didukung golkar jokowi menang suara atas sen pemilu datang,1,1,1,0,1,0,,
152,samina wa atona mbah tunjuk jelang,1,1,1,0,1,0,,
153,salah semangati kpu lebih penting semangat dirinya tetap sehat,1,1,1,0,1,0,,
154,lemhannas minta semua pihak paksa kpu,1,1,1,0,1,0,,
155,berjamaah bohong surat suara bakar papua kpu ksp polri rentak kata surat suara pakai,-1,-1,0,1,0,1,,
156,kpu curangsurat suara coblossiapa yng untung,1,-1,1,0,0,0,,
157,potret curang bpn prabowosandi struktur sistimatis masif bawasluri kpuid saksi prabowo,-1,-1,0,1,0,1,,
158,kalian lihat data kpu gelembung suara daerah kalian segeralah ambil buktinya usut curang,-1,-1,0,1,0,1,,
159,kata kpu caya kalau kambing ngeong kamu caya,-1,-1,0,1,0,1,,
160,imayadewi komisionerkpu kpuid maya klo pemilu jng fokus ama pilpresnya calegnya jg hati,1,1,1,0,1,0,,
161,satu salah,-1,-1,0,1,0,1,,
162,cuman laksana intah hr pakai alas segala situng kpu bermasalah,1,-1,1,0,0,0,,
163,insya allah senin besok mulai puasa ramadhan sama mohon maaf lahir batin moga semua jalan,1,1,1,0,1,0,,
164,thearieair makin banyak data masuk makin lebar jarak menang jokowi hadap prabowo inilah ditakut,1,1,1,0,1,0,,
165,hasil pleno kpu mulai direkap lets see buat banding versi pleno kpu versi situng kpu vers,-1,1,0,1,0,0,,
166,tps ds gorowong parungpanjang bogor jabar suara sah mmbengkak jadi dahnilanzar fadlizon,1,-1,1,0,0,0,,
167,alanborut kpuid menang telak jawa barat jawa timur dki banten aceh padang,1,1,1,0,1,0,,
168,kpuid masabudiman viryanazis masws novidaevi hsymasyari pramonoutan ksetyawan jangan buta tuli,-1,1,0,1,0,0,,
169,siang kpuid update curang jam lampung kota metro barat l tps situng kpu,-1,-1,0,1,0,1,,
170,bocah kelas i masuk database katanya security data utamanya aman gimana ahli kira ruang penting kpu,1,1,1,0,1,0,,
171,bilang kalian lembaga survey bayar atur quick count adil paling bertanggungjawab atas ricuh,1,1,1,0,1,0,,
172,luar biasa hadiah milyar rupiah disedia siapa bukti minimal sen curang dilaku,-1,-1,0,1,0,1,,
173,abiyyu msaiddidu kpuid cakkhum zarazettirazr putrabanten maulanatigor lisaamartatara rata merek,1,-1,1,0,0,0,,
174,real count kpu sen jokowimaruf unggul sekira juta suara,1,1,1,0,1,0,,
175,sabtu pagi hasil hitung via kawalpemilu situng kpuid,1,1,1,0,1,0,,
176,gelar ikrar sama syukur warga jakut ajak semua hormatikpu,1,1,1,0,1,0,,
177,hoax kontainer surat suara masuk penjara hoax server kpu setting masuk penjara hoax,-1,-1,0,1,0,1,,
178,moga kpu tetap amanah komisioner kpu ilham saputra komisi pilih umum kpu curang,1,1,1,0,1,0,,
179,maaf caya pilih jadi anggota dpr,1,1,1,0,1,0,,
180,kpuid tug tipu rakyat ditipu tinggal tunggu waktu,-1,-1,0,1,0,1,,
181,kpu tug angon keong racun,-1,-1,0,1,0,1,,
182,awasi us situng kpu jangan rampok keliar,-1,-1,0,1,0,1,,
183,amin minta audit forensik kpu jawab hasil pemilu ditentu it klo gitu ngapain pake real count kpu s,-1,1,0,1,0,0,,
184,kpu nyata prabowo menang bengkulu caya kpu nyata jokowi menang pilpres caya kpu,1,1,1,0,1,0,,
185,situng kpu disusupi c palsu suara jokowi medan naik protes muncul tuding kpu palsu form c diinput situng,-1,-1,0,1,0,1,,
186,kpuid kpu rasa cebong,1,1,1,0,1,0,,
187,viral copas bpn bangkit bawa bukti lebih salah input situng kpu it bpn desak bawasluri henti,-1,-1,0,1,0,1,,
188,msapunya fadlizon kpuid bawasluri curang umum langsung menang,1,1,1,0,1,0,,
189,situng kpu baru capai sen,1,1,1,0,1,0,,
190,demo relawan prabowosandi kpu kota bogor janji hitung suara jujur buka,1,1,1,0,1,0,,
191,kpuid klo berani jurdil hebat,1,1,1,0,1,0,,
192,miris video intip server kpu dinilai kelas warungan sedih,-1,1,0,1,0,0,,
193,tanda sakit hati menang hasil rekapitulasi kpu ponorogo paslon jokowimaruf,1,1,1,0,1,0,,
194,kpuid data tampilan depan dibaiki dibuka eh data sedia naik,1,1,1,0,1,0,,
195,semua postingan dihapus lebih dulu akun professor soegianto soelistiono bongkar curang kpu tewas,-1,1,0,1,0,0,,
196,ketua kpu tinggal tiba tiba duga diracun kpps ratus lebih tinggal sungguh aneh prihatin,-1,-1,0,1,0,1,,
197,kpuid c dipindai suai hasil kpps sama kpu ri dirubah jadi c palsu,-1,-1,0,1,0,1,,
198,abotan bekas warnet sekarang disimpan tor kpu bangga tunjuk abotan rasa malu uang,1,1,1,0,1,0,,
199,kpuid bawasluri lihat cermati rakyat disuguhi curang,-1,-1,0,1,0,1,,
,,,Total =,80,120,62,99,TP,TN
,,,,,,18,21,FP,FN
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,Recall,0.746987952,,,,,
,,,,,,,,,
,,,,,,,,,
,,,acc,0.805,80.5,,,,
,,,,,,,,,
,,,prec,0.775,,,,,
